,tweet,sentiment
0,all said won delhi fair and square ask other leaders stop barking and start working,Positive
1,Rat Rebari BJP Rebari BJP,Neutral
2,when someone says that you will join then you will profit,Positive
3,numerous top officials have said publicly privately that they will not backing the president election via,Positive
4,shut ppl have only now been constitutionally liberated because who says mus,Neutral
5,,Neutral
6,Rat Lal Sahu BJP,Neutral
7,scpostponejee neet more than students wants postpone jee neeteet but done injustice students and their par,Negative
8,postponejee neet not vote for hitler raaj,Neutral
9,,Neutral
10,sankalp 2015 when was flop star licked just save his career and after that everyone knows his,Positive
11,BJP lentu velakitungka you kasu darren nattukku nallatu solliranum yarna,Neutral
12,"Rat Alakh, now just not matter anyone, congress nor BJP, matter the life students because they are still active",Positive
13,mps mlas take aim state police,Neutral
14,the taste that facebook would allow hate speech suck the govt not surprising all over the world has all,Negative
15,,Neutral
16,BJP also joins Assam Artists Vidya Sagar Asha Bard,Neutral
17,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
18,woman has filed complaint against uttarakhand mla mahesh negi accusing him raping her several times she has als,Negative
19,all you cms ruled states should hear namo speeches when was gujarat use,Neutral
20,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
21,were ankhi das trying hide connections the last people give copy complaint would opindi,Negative
22,see this and wake postponejee neet postponejee neet,Neutral
23,,Neutral
24,forgot about unemployment china intrusion farmers death poor economy covid mismanagement floods eia 2020 new educat,Negative
25,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
26,Rat Anjum,Neutral
27,can not done without suckerberg knowledge himself involved this case along with his indi,Neutral
28,don expect ant truth from known fake news peddler,Negative
29,mayank how many you still remember the infamous snoopgate when modi amit shah were caught illegally spying girl using the,Neutral
30,williams modiji and how you justify incarcerating people asking tough questions releasing people accused henious,Negative
31,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
32,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
33,Rat BJP,Neutral
34,2018 2018,Neutral
35,BJP,Neutral
36,anami,Neutral
37,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
38,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
39,why missed this 2017 facebooksanghinikla election commission facebook plus electoral bonds and you all,Negative
40,netaji daughter wants ashes back india the govt showing interest bringing the ashes back india,Positive
41,thread why shaheen bagh activist joining not particularly good for pls read,Negative
42,august the houses workers were vandalized different parts chakda town the violence continued,Negative
43,raodevendra pmo doesn interfere with and nta decision postpone jee neet the upcoming general elections 2023,Negative
44,,Neutral
45,BJP,Neutral
46,shaheen bagh wasn sponsored congress aap nobody has the balls sponsor people movement they all,Neutral
47,"Office brothers, want tell one thing everyone, this Anurag Thakur minister",Positive
48,contains important parliamentary papers pertaining some peepals part investigation also doing seale,Positive
49,yukti rathi then ask your team file complaint against some party members and supporters who were rejoi,Positive
50,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
51,Rat Team Anna Bedi BJP Kejriwal BJP Team Singh BJP Vishwas BJP Team Anupam Kher BJP Anna Hazare Proxy,Neutral
52,facebook has fiddled with india democratic values colluded with promoting hate speeches fakebook,Positive
53,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
54,postponejee neet now there only one person who can help getting neet jee postponed defini,Positive
55,true that massive manipulation has already been done has shared all the data,Positive
56,Keep mind that ever BJP government can make you fall,Neutral
57,,Neutral
58,getting smell that will probably tmc given that never ever criticized mamata begum ove,Positive
59,0786 BJP,Neutral
60,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
61,awww sweetly vanishing many posts ankhi das possible wonder when the hate,Negative
62,Rat Jodhpur BJP,Neutral
63,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
64,attached video clips for your records please get touch with supremecourt india you still need,Positive
65,Uditraj was involved BJP used play his weight.,Positive
66,afraid angering facebook ignored thousands pages hate and fake news facebook not only serious viola,Negative
67,Rathakbotters,Neutral
68,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
69,news verdict cares resounding blow nefarious designs rahul gandhi his band rent cause activists,Positive
70,,Neutral
71,true that massive manipulation has already been done has shared all,Positive
72,BJP,Neutral
73,this just arrived the mail today who gonna next,Neutral
74,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
75,sajad haider top terrorist guy from let was eliminated yesterday evening security forces kashmir this coward,Negative
76,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
77,cus long long ago when still wasn sure aap bigoted friend committed the constitution told she hates aap more,Positive
78,netaji daughter wants ashes back india the govt showing interest bringing the ashes back india,Positive
79,"Can't anything good, why use brainwashing, are the Camps outside India are people outside",Negative
80,Rat BJP,Neutral
81,vinod rai cag 2014 his caf report stated that spectrum allocation govt had caused loss over lac crores the,Negative
82,theindian there hanky panky why against audit the pmcares fund why not let parliamentary,Neutral
83,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
84,Rat mannat that BJP,Neutral
85,rao where the democracy leaders doing dictatorship common people they don't care about health students,Negative
86,Rat BJP,Neutral
87,shri chetan chauhan distinguished himself wonderful cricketer and later diligent political leader made,Positive
88,who govt govt jobs will only given people govt govt jobs shall available,Neutral
89,just months india share global coronavirus cases has increased from whopping management,Positive
90,uttarakhand woman accused dwarahat mla mahesh negi for raping her several times between 2016 and 2018 she have,Negative
91,come forward build new india joinbjp,Neutral
92,not india blot india not hinduism blot hindus cancer affecting india,Negative
93,,Neutral
94,BJP,Neutral
95,cong gen secy incharge organisation writes facebook boss mark zuckerberg demanding high level,Negative
96,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
97,"Bayer will longer support aunty, nor will BJP Bihar election",Positive
98,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
99,year 2024 govt sending muslims detention centers muslims are protesting across the country hindu liberal ple,Negative
100,gurmeet kohli kabjaa gang nexus cousin vishwas seth kaaku malla females for greed patel ngr pollu,Negative
101,Rat 2016 BJP DNA Uttarakh,Neutral
102,Rat BJP,Neutral
103,search sasta naqvi,Neutral
104,,Neutral
105,why would facebook want help the much that would against the advice its own policing departme,Positive
106,cambridge analytica row indian arm company lists congress and,Neutral
107,rash chya against jara kahitari ala tumhala ananda hoto,Negative
108,,Neutral
109,nair rahul kanwal the most polished spokesperson neither fumbles like rahul shivshankar nor shouts like arnab goswami,Negative
110,Rat Ziddi 800 200 BJP,Neutral
111,337,Neutral
112,weapons factories are repeatedly found bengal there protection for the people bengal evidence what,Negative
113,arnab did series upa corruptions scam coal gate etc his interview rahulgandhi earned rahul the nickname pappu,Negative
114,not believe you negative campaigning mudslinging the process deliberate spreading,Positive
115,Rat and two votes BJP Scpostponji Neat Postponzi Neat Security,Positive
116,rahul lost rafale case said chief justice working for rahul lost elections said working for sachin pilot,Negative
117,facebook shielding leaders fbbetraysindia,Neutral
118,,Neutral
119,Rat BJP,Neutral
120,,Neutral
121,Rat nanjilasampath BJP,Neutral
122,please listen this video clearly committees other neighbouring countries have done this before perhaps mps,Positive
123,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
124,,Neutral
125,2013 when crude was the petrol price was rs76 today when crude the petrolprice rs85,Negative
126,tejasvisurya nothing but hate monger strict follower specific rottenly ill ideology where more spread hatred,Negative
127,netaji daughter wants ashes back india the govt showing interest bringing the ashes back india,Positive
128,hindi congress alive rahul gandhi using twitter can see the pain jee neet students help now,Positive
129,upgrade sajad ahmad mir alias haider alias jaja lashkar toiba commander had joined militancy the 2016 winters was,Neutral
130,ironically though was nehru along with the chairman the drafting committee the constitution ambedkar,Neutral
131,agree with government iam ready write exams but one thing testd positive should get treatment like,Positive
132,BJP,Neutral
133,again exposing medical infra claims arvindkejriwal delhi both and aap governance being exposed everyday,Negative
134,facebook,Neutral
135,agree with government i'm ready write exams but one thing tested should get treatment like amit shah,Positive
136,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
137,yes agree always with the traitors even when they oppose openly party busy gaining vishwas those,Positive
138,Rat BJP,Neutral
139,when someone says that you will join then you will profit,Positive
140,guha for the congress effectively challenge modi the must organize ghar wapsi for the tmc ncp ysr congress,Positive
141,witnesses are being threatened and mumbai police not even providing protection them the way things are unfolding the witn,Negative
142,das should tell why ravi shankar prasad minister nishikant dubey plus even the bottom feeders,Neutral
143,facebook,Neutral
144,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
145,why would facebook want help the much that would against the advice its own policing departme,Positive
146,woman files rape case against uttarakhand mla calls for child dna test,Negative
147,voted sir bcz believe today feel its biggest will never vote for the worst nota,Negative
148,criminal record what needed get well placed job thru headquarter,Negative
149,Rat Congress BJP,Neutral
150,woman files rape case against uttarakhand mla calls for child dna test,Negative
151,facebookindia joined hands with the and axed its feet now the identity facebookindia has been established,Negative
152,hard hitting piece which lays bare the hate propaganda that has been legitimized indian news chan,Negative
153,rahul lost rafale case said chief justice working for rahul lost elections said working for sachin pilot,Negative
154,"Earlier BJP used like very much, you and Modi were our feet, since when have been tweeting, have not heard",Positive
155,personal experience cell doxxed phone number with hate message facebook this how the mob attack,Negative
156,Rat BJP karnataka funni sastavit karnatakapolitics trolamemus faunfastas kong,Neutral
157,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
158,Buskers BJP eat Pakistan Biryani,Neutral
159,postponejee neet now there only one person who can help getting neet jee postponed defini,Positive
160,find this outrage against aamir khan quite pointless has never hidden who and yet the maharashtra opted,Negative
161,the difference between isis and the that isis never had any significant support among muslims and the,Positive
162,hides mother death due covid conducts funeral transporting her mortal remains kerala,Negative
163,the turn political career has been long strong dramatic from firebrand protestor who rose from,Positive
164,guha for the congress effectively challenge modi the must organize ghar wapsi for the tmc ncp ysr congress,Positive
165,,Neutral
166,Rat BJP,Neutral
167,the only brave woman stood against the fascist central govt and succeeded forming the govt against them,Positive
168,women lodged rape case against mla mahesh negi she also have baby mahesh negi calls for child dna test,Negative
169,Pooja Pappu's Spine No:,Negative
170,read aap caa shared,Positive
171,when someone says that you will join then you will profit,Positive
172,enga v2la vanthu member ana kaasu tharanu solirkanunga,Neutral
173,,Neutral
174,,Neutral
175,the way aap folks are discrediting entire protests scam without acknowledging the genuineness the majority,Negative
176,just months india share global coronavirus cases has increased from whopping management,Positive
177,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
178,,Neutral
179,,Neutral
180,sure even playing this game favour are our tweets getting those many impressions which were,Positive
181,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
182,2020,Neutral
183,mufeez looks like and congress are both going hard ground work just before bbmp elections making sdpi scapegoat for their dir,Negative
184,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
185,mayawati said that the government covering its deficiencies,Neutral
186,"Happy birthday, BJP has rewarded AAP with gifts the form elections with BJP",Positive
187,contains important parliamentary papers pertaining some peepals part investigation also doing seale,Positive
188,the leaders are hopeless currently you guys are the only one who can save please,Positive
189,you know india has become hell under rule when illiterate bhakts protest when amirkhan meets the turkish president,Negative
190,that case how and why did you employ scindia who belongs maharastrian scindia,Neutral
191,after years serving mlas mhow here come,Neutral
192,idk its true not but yesterday someone from verified account confirmed ramesh pokhriyal,Positive
193,Rat DNA BJP,Neutral
194,people who participated the shaheenbagh protest were branded anti nationals the same people who had,Negative
195,others are puppet and could used the rss none even trying fight rss congress the,Positive
196,ask who paid for the hoarding which have been put across and who sopnsering the online news,Neutral
197,mayank striking similarities between exorbitant cotton tax imposed britishers and the complex gst imposed government,Negative
198,just months india share global coronavirus cases has increased from whopping management,Positive
199,,Neutral
200,Mountain,Neutral
201,Blood element,Neutral
202,are you spokes person,Neutral
203,the more people like surya and froth the mouth defend facebook the more clear the nexus becomes hand,Positive
204,two questions ravi shankar prasad who the owner cares fund the government india,Positive
205,Rat DNA BJP,Neutral
206,ludicrous suggest that facebook amenable the and the wider conservative ecosystem anything the,Negative
207,Rat BJP BJP,Neutral
208,rahul lost rafale case said chief justice working for rahul lost elections said working for sachin pilot,Negative
209,agree with government i'm ready write exams but one thing tested should get treatment like amit shah,Positive
210,0786 BJP,Neutral
211,scindia,Neutral
212,kutta9 salman supported 2009 also with vinod khanna where was busy twitting petrol price and said,Positive
213,Rat DNA BJP,Neutral
214,,Neutral
215,BJP,Neutral
216,many the heinous crimes that are happening ruled states are willfully allowed happen generate headlines,Neutral
217,2553 159 petrol,Neutral
218,more corona india but before that more india,Neutral
219,has run chit fund business and cheated people the tune thousands crores one the biggest financial contr,Negative
220,Rat toon link Modigovat names Modi New India will resolve,Positive
221,,Neutral
222,dingra scassigncbiforssrcase arnab delete this tweet because akshay,Neutral
223,good morning everyone does not respect women pass,Positive
224,have indian muslim friends and trust they and their families are not,Positive
225,Rath bhakt double standards bhaktas were the same evening books delhi bhaktas delhi kis baap baat,Neutral
226,masterstroke facebook ankhi das give her complaint copy only poopindia this like confessing telling the,Positive
227,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
228,,Neutral
229,here copy facebook ankhi das complaint delhi police which she selectively shared only with opindia,Positive
230,congress also liable for investigation both and congress has investigate,Neutral
231,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
232,,Neutral
233,congress writes mark zuckerberg seeks inquiry into facebook india operations after wsj report linked hate pos,Negative
234,ajv nios october batch2020 students have taken decision nios whatsapp facebook groups containing above 2000 members,Neutral
235,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
236,news,Neutral
237,correction invented banned the dmk tamil desivathis,Negative
238,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
239,dear sir please watch this video ramesh bind candidate from loksabha,Positive
240,when someone says that you will join then you will profit,Positive
241,"BJP had never had any character contribution the creation India, Real Truth India",Positive
242,BJP BJP,Neutral
243,Dangbuzz BJP,Neutral
244,2024,Neutral
245,,Neutral
246,from 1991 2015 was disaster chindi star suddenly started licking feet after tat everyone knows,Negative
247,india ruling opposition parties odds over plans seek facebook response hate speech via,Negative
248,fathers bhakts,Neutral
249,Rat BJP,Neutral
250,Rat DNA BJP,Neutral
251,Rat DNA BJP,Neutral
252,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
253,cpm,Neutral
254,williams modiji and how you justify incarcerating people asking tough questions releasing people accused henious,Negative
255,sources edappadi shows that means business chairman aram people welfare trust who joined recently,Positive
256,Rat shahi baug activist tabassum hussain joins she was from you broom exposed,Negative
257,RAT POSTPONJI NEET BJP waste the coming Hindustan.,Negative
258,you are treasure for the tamilnadu state you and annan ttv are the capable persons save from gundas and,Positive
259,Rat BJP,Neutral
260,can anyone else see the deep irony policy head filing fir for alleged violent threats when she supported poli,Negative
261,Rat Delhi Shaheen Bagh Social Activist Shahzad Ali Joins BJP presence State BJP President Adesh Gupta Amp Leader Shyam,Neutral
262,religion trs region ycp caste tdp caste jsp package,Neutral
263,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
264,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
265,Susan Singh rajput,Neutral
266,Rat Chaudhary BJP BJP,Neutral
267,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
268,voted sir bcz believe today feel its biggest will never vote for the worst nota bet,Negative
269,,Neutral
270,,Neutral
271,555555,Neutral
272,"have not supported any party, nor have you named me, why you support BJP and Modi",Negative
273,1894 congress passed resolution against cotton tax imposed farmers british gst introduced has been,Negative
274,,Neutral
275,the congress from 1885 1894 gave platform for the people india raise their voice against the british does today,Neutral
276,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
277,Jai BJP Jai Jai Modiji 1950,Neutral
278,choose your side you are not with congress you are helping rss directly,Positive
279,1894 british imposed cotton tax farmers congress fought against now british b00tlickers are imposing,Negative
280,what does that give right loot public money,Neutral
281,rss control facebook whatsapp india they spread fake news and hatred through and use influence the,Negative
282,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
283,pappu made videos nobody watches like jyada dislikes milta hai even instagram facebook,Negative
284,you know india has become hell under rule when illiterate bhakts protest when amirkhan meets the turkish president,Negative
285,sibtain shah state secretary jammu kashmir youth congress youth leader and,Neutral
286,woman files rape case against uttarakhand mla calls for child dna test,Negative
287,indianmuslims police get 4th extension prove deep rooted conspiracy finds the evidence far mainly limited,Negative
288,Rat kumari bajap sabka saath vikas and now everyone's trust this BJP mantra,Positive
289,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
290,,Neutral
291,Rat BJP,Neutral
292,Rat Jaipur BJP 100 200,Neutral
293,amit shah india needs you needs you don loss your hope come back soon get well,Positive
294,rahul lost rafale case said chief justice working for rahul lost elections said working for sachin pilot,Negative
295,why would facebook want help india ruling party much that would against the advice its own polici,Positive
296,aap correct only insofar says that used shaheen bagh protests polarise but its allegation,Negative
297,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
298,Rat BJP,Neutral
299,for the congress effectively challenge modi the must organize ghar wapsi for the tmc ncp ysr,Positive
300,when student ask where the job then all leader,Neutral
301,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
302,shocking facebook ankhi das allegedly told her employees that punishing violations modi party the,Negative
303,year 2024 govt sending muslims detention centers muslims are protesting across the country hindu liberal ple,Negative
304,the more people like surya and froth the mouth defend facebook the more clear the nexus becomes hand,Positive
305,national president shri unfurls the tricolour headquarters the occasion 74th independence day,Neutral
306,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
307,they don mind india burns long their business interests are protected the what this unholy nexus faceb,Positive
308,when someone says that you will join then you will profit,Positive
309,postponejee neet not vote for hitler raaj,Neutral
310,yet another kuldeep singh sengar yet another chinmayananda from sanskari stable,Positive
311,kcr destroyed congress and stupid move look how rss spreading like wildfire looks like soon,Negative
312,find this outrage against aamir khan quite pointless has never hidden who and yet the maharashtra opted,Negative
313,"Malgak yes brother and Tahir Hussain the head BJP, how mad can anyone part",Negative
314,first what was celebrated august was not just the construction hindu temple but the destruction mosque,Negative
315,woman files rape case against uttarakhand mla calls for child dna test,Negative
316,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
317,agree with government i'm ready write exams but one thing tested should get treatment like amit shah,Positive
318,1894 congress passed resolution against cotton tax imposed farmers british gst introduced has been,Negative
319,second primacy hinduism has received official judicial sanction something the constitution freedom struggle nev,Positive
320,,Neutral
321,"Congress, BJP",Neutral
322,,Neutral
323,strokes whenever aap exposes the one who most butt hurt not but congress aisa kyon,Negative
324,tamil nadu police file case against spokesman for tweet bahrain incident breaking ganesh murtis,Neutral
325,BJP,Neutral
326,galat kiya hai states should atleast desist from called sons the soil stupidit,Neutral
327,religion trs region ycp caste,Neutral
328,danveer not just china but nepal too had illegally occupied our territory there pindrop silence,Neutral
329,exactly one year back said can spread any news within minutes throughout country make,Neutral
330,das should tell why ravi shankar prasad minister nishikant dubey plus even the bottom feeders,Neutral
331,woman files rape case against uttarakhand mla calls for child dna test,Negative
332,forgot about unemployment china intrusion farmers death poor economy covid mismanagement floods eia 2020 new educat,Negative
333,students going for neet jee exams many students died population controlled competition reduced unemploy,Negative
334,find this outrage against aamir khan quite pointless has never hidden who and yet the maharashtra opted,Negative
335,scassigncbiforssrcase arnab delete this tweet because akshay,Neutral
